cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
1,16,48,左上,1,1,3,0,3,0,0,8,8,0,,,,,,,,,,,,,,,95,237.5728066,237.6720979,237.6720979,240.0659953,240.0659953,240.0659953,1,1,1,0.9605796,None,240.0659953,240.5645358,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,9,49,左下,1,1,3,0,3,0,0,9,9,2,,,,,,,,,,,,,,,70,240.5645358,240.6646866,240.6646866,243.0579793,243.0579793,243.0579793,1,1,1,1.0998341,None,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0579793,273.0131145,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,18,26,右下,1,1,4,0,4,0,0,0,0,2,,,,,,,,,,,273.0131145,275.0077842,275.0077842,275.5109833,4,275.5109833,275.6059603,275.6059603,277.9996404,277.9996404,277.9996404,1,1,1,1.1967988,None,277.9996404,278.4983268,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,10,38,右上,0,2,4,0,4,0,0,1,1,1,,,,,,,,,,,,,,,73,278.4983268,278.5984096,278.5984096,280.9919616,280.9919616,280.9919616,1,2,1,1.1839156,None,280.9919616,281.4904252,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,23,左上,0,2,4,0,4,0,0,2,2,7,,,,,,,,,,,,,,,46,281.4904252,281.590517,281.590517,283.9841378,283.9841378,283.9841378,1,2,1,1.4596036,None,283.9841378,284.4828947,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,13,13,左下,0,2,4,0,4,0,0,3,3,6,,,,,,,,,,,,,,,2,284.4828947,284.5824278,284.5824278,286.9763158,286.9763158,286.9763158,1,2,1,0.9979974,None,286.9763158,287.4752312,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,8,55,左上,1,1,4,0,4,0,0,4,4,3,,,,,,,,,,,,,,,85,287.4752312,287.5744617,287.5744617,289.968644,289.968644,289.968644,1,1,1,1.6361701,None,289.968644,290.4672631,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,9,17,右下,1,1,4,0,4,0,0,5,5,9,,,,,,,,,,,,,,,91,290.4672631,290.5670323,290.5670323,292.960323,292.960323,292.960323,0,None,0,,,292.960323,293.4594199,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,34,左上,0,2,4,0,4,0,0,6,6,5,,,,,,,,,,,,,,,81,293.4594199,293.5592753,293.5592753,295.9525229,295.9525229,295.9525229,1,2,1,1.959205,None,295.9525229,296.4511485,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
